study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	0.0	hr		0.0005077494415184177					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	0.13	hr		0.00045773068958207644					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	0.25	hr		0.00039177279175567044					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	0.38	hr		0.0003719813458998484					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	0.5	hr		0.0003150936781515483					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	0.64	hr		0.0002669093547703295					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	0.77	hr		0.00023568330425424364					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	1.0	hr		0.00020382539501361555					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	1.15	hr		0.000163936765209451					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	1.5	hr		0.00014031340192737293					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	1.65	hr		0.00012518955761736268					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	2.0	hr		0.00010827204983123256					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	2.5	hr		8.617737701175665e-05					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	3.0	hr		7.451856441697786e-05					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	4.0	hr		5.4034112218109484e-05					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	5.0	hr		3.91752409216169e-05					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	6.0	hr		3.251015050467167e-05					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	7.0	hr		2.9615829895478337e-05					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	8.0	hr		2.900435371043749e-05					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	9.0	hr		2.560046961371011e-05					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	10.0	hr		2.7822166419358524e-05					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	11.0	hr		2.4316369625124333e-05					mole/meter^3	ng/ml
Badian1994		all	12.0	GLI1iv	concentration	glimepiride	serum	HPLC	glimepiride_GLI1iv	12.0	hr		2.4560960099140675e-05					mole/meter^3	ng/ml
